,egypt_def,min_HAD,sudan_def,ethiopia_hydro
23355,0.2451175,178.12294,0.0,15.693191
23356,0.29382062,176.49265,0.0,16.689852
23357,2.9545014,171.17667,0.0,11.169938
23358,1.4133937,172.44743,0.0,12.145917
23359,4.840233,154.79234,0.0,8.96212
23360,0.96451,174.07071,0.0,14.2141905
23361,13.129805,151.25943,0.0014123545,7.1635137
23362,0.5229695,175.35956,0.0,15.912674
23363,0.3472504,176.81013,0.0,17.538473
23364,13.105115,151.10138,0.0114085805,7.64548
23365,2.4010103,167.82497,0.0,10.242358
23366,0.2335646,177.45992,0.0,15.425726
23367,1.6055902,172.45094,0.0,12.39069
23368,0.39162603,175.49406,0.0,16.645996
23369,0.5685108,174.2601,0.0,13.428848
23370,1.4786347,173.51483,0.0,13.329086
23371,5.676756,153.1833,0.0,8.607855
23372,8.133336,152.3553,0.0,10.299096
23373,12.104674,151.16167,0.0055959956,7.9163265
23374,0.37649304,176.80867,0.0,17.147753
23375,0.63144255,174.13611,0.0,15.036013
23376,0.3047841,178.11536,0.0,16.92613
23377,0.8030101,173.58818,0.0,14.318992
23378,0.16032724,178.18262,0.0,17.74336
23379,0.36358982,176.7463,0.0,16.21564
23380,0.6611768,173.9808,0.0,15.149331
23381,0.839197,173.45528,0.0,13.958881
23382,3.5302165,153.29834,0.0,9.457432
23383,0.55405134,174.17137,0.0,15.209419
23384,0.30099258,176.82024,0.0,16.811865
23385,0.3526467,176.96207,0.0,16.740139
23386,0.31716388,178.10089,0.0,16.654833
23387,0.3853567,176.94606,0.0,16.905466
23388,3.8720284,164.22658,0.0,9.958832
23389,1.2606107,173.46864,0.0,12.551382
23390,4.72251,154.10011,0.0,10.991379
23391,0.2000645,177.14642,0.0,17.292364
23392,0.31259045,177.80257,0.0,16.649967
23393,6.0190215,153.88376,0.0,9.95627
23394,3.5573707,168.28482,0.0,10.209163
23395,2.9333327,169.41313,0.0,9.657074
23396,0.24053977,177.54793,0.0,15.532119
